text	language	category	concept	type
dog	English	animals	dog	word
perro	Spanish	animals	dog	word
chien	French	animals	dog	word
Hund	German	animals	dog	word
狗	Chinese	animals	dog	word
犬	Japanese	animals	dog	word
كلب	Arabic	animals	dog	word
собака	Russian	animals	dog	word
कुत्ता	Hindi	animals	dog	word
개	Korean	animals	dog	word
cat	English	animals	cat	word
gato	Spanish	animals	cat	word
chat	French	animals	cat	word
Katze	German	animals	cat	word
猫	Chinese	animals	cat	word
猫	Japanese	animals	cat	word
قطة	Arabic	animals	cat	word
кошка	Russian	animals	cat	word
बिल्ली	Hindi	animals	cat	word
고양이	Korean	animals	cat	word
bird	English	animals	bird	word
pájaro	Spanish	animals	bird	word
oiseau	French	animals	bird	word
Vogel	German	animals	bird	word
鸟	Chinese	animals	bird	word
鳥	Japanese	animals	bird	word
طائر	Arabic	animals	bird	word
птица	Russian	animals	bird	word
पक्षी	Hindi	animals	bird	word
새	Korean	animals	bird	word
fish	English	animals	fish	word
pez	Spanish	animals	fish	word
poisson	French	animals	fish	word
Fisch	German	animals	fish	word
鱼	Chinese	animals	fish	word
魚	Japanese	animals	fish	word
سمكة	Arabic	animals	fish	word
рыба	Russian	animals	fish	word
मछली	Hindi	animals	fish	word
물고기	Korean	animals	fish	word
horse	English	animals	horse	word
caballo	Spanish	animals	horse	word
cheval	French	animals	horse	word
Pferd	German	animals	horse	word
马	Chinese	animals	horse	word
馬	Japanese	animals	horse	word
حصان	Arabic	animals	horse	word
лошадь	Russian	animals	horse	word
घोड़ा	Hindi	animals	horse	word
말	Korean	animals	horse	word
elephant	English	animals	elephant	word
elefante	Spanish	animals	elephant	word
éléphant	French	animals	elephant	word
Elefant	German	animals	elephant	word
大象	Chinese	animals	elephant	word
象	Japanese	animals	elephant	word
فيل	Arabic	animals	elephant	word
слон	Russian	animals	elephant	word
हाथी	Hindi	animals	elephant	word
코끼리	Korean	animals	elephant	word
red	English	colors	red	word
rojo	Spanish	colors	red	word
rouge	French	colors	red	word
rot	German	colors	red	word
红色	Chinese	colors	red	word
赤	Japanese	colors	red	word
أحمر	Arabic	colors	red	word
красный	Russian	colors	red	word
लाल	Hindi	colors	red	word
빨간색	Korean	colors	red	word
blue	English	colors	blue	word
azul	Spanish	colors	blue	word
bleu	French	colors	blue	word
blau	German	colors	blue	word
蓝色	Chinese	colors	blue	word
青	Japanese	colors	blue	word
أزرق	Arabic	colors	blue	word
синий	Russian	colors	blue	word
नीला	Hindi	colors	blue	word
파란색	Korean	colors	blue	word
green	English	colors	green	word
verde	Spanish	colors	green	word
vert	French	colors	green	word
grün	German	colors	green	word
绿色	Chinese	colors	green	word
緑	Japanese	colors	green	word
أخضر	Arabic	colors	green	word
зелёный	Russian	colors	green	word
हरा	Hindi	colors	green	word
초록색	Korean	colors	green	word
yellow	English	colors	yellow	word
amarillo	Spanish	colors	yellow	word
jaune	French	colors	yellow	word
gelb	German	colors	yellow	word
黄色	Chinese	colors	yellow	word
黄色	Japanese	colors	yellow	word
أصفر	Arabic	colors	yellow	word
жёлтый	Russian	colors	yellow	word
पीला	Hindi	colors	yellow	word
노란색	Korean	colors	yellow	word
black	English	colors	black	word
negro	Spanish	colors	black	word
noir	French	colors	black	word
schwarz	German	colors	black	word
黑色	Chinese	colors	black	word
黒	Japanese	colors	black	word
أسود	Arabic	colors	black	word
чёрный	Russian	colors	black	word
काला	Hindi	colors	black	word
검은색	Korean	colors	black	word
white	English	colors	white	word
blanco	Spanish	colors	white	word
blanc	French	colors	white	word
weiß	German	colors	white	word
白色	Chinese	colors	white	word
白	Japanese	colors	white	word
أبيض	Arabic	colors	white	word
белый	Russian	colors	white	word
सफ़ेद	Hindi	colors	white	word
흰색	Korean	colors	white	word
bread	English	food	bread	word
pan	Spanish	food	bread	word
pain	French	food	bread	word
Brot	German	food	bread	word
面包	Chinese	food	bread	word
パン	Japanese	food	bread	word
خبز	Arabic	food	bread	word
хлеб	Russian	food	bread	word
रोटी	Hindi	food	bread	word
빵	Korean	food	bread	word
water	English	food	water	word
agua	Spanish	food	water	word
eau	French	food	water	word
Wasser	German	food	water	word
水	Chinese	food	water	word
水	Japanese	food	water	word
ماء	Arabic	food	water	word
вода	Russian	food	water	word
पानी	Hindi	food	water	word
물	Korean	food	water	word
rice	English	food	rice	word
arroz	Spanish	food	rice	word
riz	French	food	rice	word
Reis	German	food	rice	word
